ID,Station Name
1,South Ferry
2,Rector St (1)
3,Chambers St (1/2/3)
4,Franklin St
5,Canal St (1)
6,Houston St
7,Christoper St-Sheridan Sq
8,14th St (1/2/3)
9,Wall St (2/3)
10,Fulton St-Broadway Nassau
11,Park Place
12,Whitehall St-South Ferry
13,Rector St (R/W)
14,Cortlandt St
15,City Hall
16,Canal St (J/M/N/Q/R/Z/6)
17,Prince St
18,8th St-NYU
19,14th St-Union Sq
20,Chambers St (A/C)
21,Canal St (A/C/E)
22,Spring St (C/E)
23,W 4th St-Washington Sq
24,14th St (A/C/E)
25,World Trade
26,Brooklyn Bridge-City Hall
27,Spring St (6)
28,Bleecker St
29,Astor Pl
30,Bowling Green
31,Wall St (4/5)
32,Broad St
33,Chambers St (J/M/Z)
34,Bowery
35,Delancey St-Essex St
36,East Broadway
37,2nd Ave
38,Broadway-Lafayette St
39,14th St (F)
40,Grand St
