ID,Station Name
N,40
0,South Ferry
1,Rector St (1)
2,Chambers St (1/2/3)
3,Franklin St
4,Canal St (1)
5,Houston St
6,Christoper St-Sheridan Sq
7,14th St (1/2/3)
8,Wall St (2/3)
9,Fulton St-Broadway Nassau
10,Park Place
11,Whitehall St-South Ferry
12,Rector St (R/W)
13,Cortlandt St
14,City Hall
15,Canal St (J/M/N/Q/R/Z/6)
16,Prince St
17,8th St-NYU
18,14th St-Union Sq
19,Chambers St (A/C)
20,Canal St (A/C/E)
21,Spring St (C/E)
22,W 4th St-Washington Sq
23,14th St (A/C/E)
24,World Trade
25,Brooklyn Bridge-City Hall
26,Spring St (6)
27,Bleecker St
28,Astor Pl
29,Bowling Green
30,Wall St (4/5)
31,Broad St
32,Chambers St (J/M/Z)
33,Bowery
34,Delancey St-Essex St
35,East Broadway
36,2nd Ave
37,Broadway-Lafayette St
38,14th St (F)
39,Grand St
