ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,1,,3,,,,,,,,,2,,,,,,2,,,,,1,2,1,,,,,,,
10,,,2,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,2,,2,,,,,,,,,2,2,,,,,,1,2,,,,,,
16,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,
19,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,2,,1,,,2,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,2,2,
23,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
30,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
31,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,2,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,
37,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,2
38,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
