ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,2,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,1,,3,,,,,,,,,2,,,,,,2,,,,,1,2,1,,,,,,,
11,,,2,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,2,,2,,,,,,,,,2,2,,,,,,1,2,,,,,,
17,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,
20,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,2,,1,,,2,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,2,2,
24,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
31,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
32,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,
38,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,2
39,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
