ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,,10,,,,,,,8,,,1,10,,,,,,,,,,,,,,,,,4,9,6,,,,,,,,
1,10,,11,,,,,,6,,11,8,1,6,,,,,,,,,,,7,,,,,6,3,6,,,,,,,,
2,,11,,6,,,,,,,6,,11,,,,,,,4,,,,,4,,,,,,,,,,,,,,,
3,,,6,,6,,,,,,,,,,,,,,,10,3,,,,,,,,,,,,,,,,,,,
4,,,,6,,7,,,,,,,,,,7,,,,,3,5,,,,,,,,,,,,,,,,,,
5,,,,,7,,8,,,,,,,,,,,,,,,4,6,,,,,,,,,,,,,,,,,
6,,,,,,8,,13,,,,,,,,,,,,,,,9,10,,,,,,,,,,,,,,,6,
7,,,,,,,13,,,,,,,,,,,,11,,,,9,3,,,,,,,,,,,,,,,4,
8,8,6,,,,,,,,2,,7,5,6,,,,,,,,,,,,,,,,6,3,2,,,,,,,,
9,,,,,,,,,2,,6,,,1,4,,,,,5,,,,,,4,,,,,5,6,7,,,,,,,
10,,11,6,,,,,,,6,,,11,,1,,,,,3,,,,,5,,,,,,,,,,,,,,,
11,1,8,,,,,,,7,,,,7,,,,,,,,,,,,,,,,,1,7,5,,,,,,,,
12,10,1,11,,,,,,5,,11,7,,5,,,,,,,,,,,7,,,,,6,2,5,,,,,,,,
13,,6,,,,,,,6,1,,,5,,6,,,,,,,,,,1,,,,,,5,7,,,,,,,,
14,,,,,,,,,,4,1,,,6,,10,,,,5,,,,,,,,,,,,,4,,,,,,,
15,,,,,7,,,,,,,,,,10,,8,,,,6,,,,,11,7,,,,,,6,11,17,,,13,,10
16,,,,,,,,,,,,,,,,8,,10,,,,,,,,,,,,,,,,,,,,4,,
17,,,,,,,,,,,,,,,,,10,,7,,,,,,,,,,1,,,,,,,,,,,
18,,,,,,,,11,,,,,,,,,,7,,,,,,,,,,,7,,,,,,,,,,6,
19,,,4,10,,,,,,5,3,,,,5,,,,,,10,,,,,,,,,,,,,,,,,,,
20,,,,3,,,,,,,,,,,,6,,,,10,,6,,,13,,,,,,,,,,,,,,,
21,,,,,5,4,,,,,,,,,,,,,,,6,,8,,,,,,,,,,,,,,,5,,
22,,,,,,6,9,9,,,,,,,,,,,,,,8,,11,,,,,,,,,,,,,,13,7,
23,,,,,,,10,3,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,7,
24,,7,4,,,,,,,,5,,7,1,,,,,,,13,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,4,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,7,,,,,,,,,,,,5,,,,,,5,13,,,,,8
27,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,7,,,,,,,,,1,,
28,,,,,,,,,,,,,,,,,,1,7,,,,,,,,,7,,,,,,,,,,,,
29,4,6,,,,,,,6,,,1,6,,,,,,,,,,,,,,,,,,5,4,,,,,,,,
30,9,2,,,,,,,3,5,,7,3,5,,,,,,,,,,,,,,,,5,,2,,,,,,,,
31,6,6,,,,,,,2,6,,5,5,7,,,,,,,,,,,,,,,,4,2,,,,,,,,,
32,,,,,,,,,,7,,,,,4,6,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,11,,,,,,,,,,,5,,,,,,,,7,13,,10,,4
34,,,,,,,,,,,,,,,,17,,,,,,,,,,,13,,,,,,,7,,6,8,,,8
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,6,,,,,9
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,5,,
37,,,,,,,,,,,,,,,,13,4,,,,,,13,,,,5,1,,,,,,10,,,5,,,13
38,,,,,,,6,4,,,,,,,,,,,6,,,,7,7,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,10,,,,,,,,,,,8,,,,,,,4,8,9,,13,,
